acoustic_tag_id,scientific_name,length_mm,weight_g,release_date_time,release_location,release_site,release_latitude,release_longitude,tag_model,tag_manufacturer,protocol
R64K-677,Salmo trutta,150,31.3,2021-03-16T12:00:00Z,R1,Site A,56.35715,9.62621,ID-LP7,Thelma,R64K
OPi-147,Salmo trutta,156,33.5,2021-03-16T12:00:00Z,R1,Site A,56.35715,9.62621,ID-LP7,Thelma,OPi
R64K-678,Salmo trutta,162,39.7,2021-03-16T12:00:00Z,R1,Site A,56.35715,9.62621,ID-LP7,Thelma,R64K
OPi-148,Salmo trutta,162,35.5,2021-03-16T12:00:00Z,R1,Site A,56.35715,9.62621,ID-LP7,Thelma,OPi
R64K-679,Salmo trutta,155,35.6,2021-03-16T12:00:00Z,R1,Site A,56.35715,9.62621,ID-LP7,Thelma,R64K
OPi-149,Salmo trutta,152,34.6,2021-03-16T12:00:00Z,R1,Site A,56.35715,9.62621,ID-LP7,Thelma,OPi
R64K-680,Salmo trutta,161,41.8,2021-03-16T12:00:00Z,R1,Site A,56.35715,9.62621,ID-LP7,Thelma,R64K
OPi-150,Salmo trutta,171,47,2021-03-16T12:00:00Z,R1,Site A,56.35715,9.62621,ID-LP7,Thelma,OPi
R64K-681,Salmo trutta,192,66.5,2021-03-16T12:00:00Z,R1,Site A,56.35715,9.62621,ID-LP7,Thelma,R64K
OPi-151,Salmo trutta,174,47.6,2021-03-16T12:00:00Z,R1,Site A,56.35715,9.62621,ID-LP7,Thelma,OPi
R64K-682,Salmo trutta,159,41.7,2021-03-16T12:00:00Z,R1,Site A,56.35715,9.62621,ID-LP7,Thelma,R64K
OPi-152,Salmo trutta,167,45,2021-03-16T12:00:00Z,R1,Site A,56.35715,9.62621,ID-LP7,Thelma,OPi
R64K-683,Salmo trutta,152,35.4,2021-03-16T12:00:00Z,R1,Site A,56.35715,9.62621,ID-LP7,Thelma,R64K
OPi-153,Salmo trutta,159,35.6,2021-03-16T12:00:00Z,R1,Site A,56.35715,9.62621,ID-LP7,Thelma,OPi
